ID,Full Name,Country,Weight,Height,Position,Team Abbreviation,Team Full Name,Total Games,Total Points,Total Assists,Total Rebounds,Total Blocks,Total Steals,Avg Points,Avg Rebounds,Avg Assists,Avg Blocks,Avg Steals,Season Games,Season Points,Season Assists,Season Rebounds,Season Blocks,Season Steals,Season Avg Points,Season Avg Rebounds,Season Avg Assists,Season Avg Blocks,Season Avg Steals,
1641705,Victor Wembanyama,France,106.58,224,Forward-Center,SAS,San Antonio Spurs,181,4238,641,1997,627,206,23.4,11.0,3.5,3.5,1.1,,,,,,,,,,,
1631104,Blake Wesley,USA,86.17,193,Guard,POR,Portland Trail Blazers,187,817,440,276,25,107,4.4,1.5,2.4,0.1,0.6,,,,,,,,,,,
1629632,Coby White,USA,95.24,193,Guard,CHA,Charlotte Hornets,522,8141,2018,1879,82,342,15.6,3.6,3.9,0.2,0.7,,,,,,,,,,,
1628401,Derrick White,USA,86.17,193,Guard,BOS,Boston Celtics,646,8658,2845,2408,602,557,13.4,3.7,4.4,0.9,0.9,,,,,,,,,,,
1641715,Cam Whitmore,USA,104.31,198,Forward,CLE,Cleveland Cavaliers,119,1249,97,389,38,76,10.5,3.3,0.8,0.3,0.6,,,,,,,,,,,
1630598,Aaron Wiggins,USA,86.17,196,Guard,ATL,Atlanta Hawks,339,2962,477,1068,90,245,8.7,3.2,1.4,0.3,0.7,,,,,,,,,,,
203952,Andrew Wiggins,Canada,89.34,198,Forward,MIA,Miami Heat,948,17467,2293,4297,690,923,18.4,4.5,2.4,0.7,1.0,,,,,,,,,,,
1642873,Amari Williams,United Kingdom,113.38,211,Forward-Center,BOS,Boston Celtics,22,30,10,40,10,3,1.4,1.8,0.5,0.5,0.1,,,,,,,,,,,
1630314,Brandon Williams,USA,86.17,185,Guard,GSW,Golden State Warriors,140,1497,443,336,36,111,10.7,2.4,3.2,0.3,0.8,,,,,,,,,,,
1642262,Cody Williams,USA,86.17,203,Forward,UTA,Utah Jazz,117,818,196,311,42,74,7.0,2.7,1.7,0.4,0.6,,,,,,,,,,,
1629684,Grant Williams,USA,107.03,201,Forward,CHA,Charlotte Hornets,492,3760,782,1853,257,264,7.6,3.8,1.6,0.5,0.5,,,,,,,,,,,
1631114,Jalen Williams,USA,95.69,196,Guard-Forward,OKC,Oklahoma City Thunder,248,4464,1105,1140,135,333,18.0,4.6,4.5,0.5,1.3,,,,,,,,,,,
1631119,Jaylin Williams,USA,108.84,206,Forward,OKC,Oklahoma City Thunder,230,1311,464,1095,110,109,5.7,4.8,2.0,0.5,0.5,,,,,,,,,,,
1629026,Kenrich Williams,USA,95.24,201,Guard-Forward,OKC,Oklahoma City Thunder,447,2853,774,1796,105,328,6.4,4.0,1.7,0.2,0.7,,,,,,,,,,,
1631109,Mark Williams,USA,108.84,216,Center,PHX,Phoenix Suns,166,2000,207,1412,174,131,12.0,8.5,1.2,1.0,0.8,,,,,,,,,,,
1630172,Patrick Williams,USA,106.58,198,Forward,CHI,Chicago Bulls,348,3141,509,1341,216,282,9.0,3.9,1.5,0.6,0.8,,,,,,,,,,,
1630533,Ziaire Williams,USA,83.9,206,Forward,LAL,Los Angeles Lakers,269,2336,319,809,76,223,8.7,3.0,1.2,0.3,0.8,,,,,,,,,,,
1629057,Robert Williams III,USA,112.93,206,Center-Forward,POR,Portland Trail Blazers,294,2088,385,2018,475,207,7.1,6.9,1.3,1.6,0.7,,,,,,,,,,,
1629627,Zion Williamson,USA,128.8,198,Forward,NOP,New Orleans Pelicans,276,6581,1119,1768,172,279,23.8,6.4,4.1,0.6,1.0,,,,,,,,,,,
1630592,Jalen Wilson,USA,99.77,198,Forward,ATL,Atlanta Hawks,176,1306,240,515,11,73,7.4,2.9,1.4,0.1,0.4,,,,,,,,,,,
1642874,Danny Wolf,USA,113.38,211,Forward,BKN,Brooklyn Nets,57,508,127,281,32,30,8.9,4.9,2.2,0.6,0.5,,,,,,,,,,,
1642905,Yang Hansen,China,122.45,216,Center,POR,Portland Trail Blazers,43,95,22,66,10,3,2.2,1.5,0.5,0.2,0.1,,,,,,,,,,,
1642443,Jahmir Young,USA,83.9,183,Guard,MIA,Miami Heat,20,36,15,7,0,1,1.8,0.3,0.8,0.0,0.1,,,,,,,,,,,
1629027,Trae Young,USA,74.38,188,Guard,WAS,Washington Wizards,513,12758,4988,1747,78,531,24.9,3.4,9.7,0.2,1.0,,,,,,,,,,,
1642911,Rocco Zikarsky,Australia,102.95,221,Center,MIN,Minnesota Timberwolves,5,14,2,14,5,0,2.8,2.8,0.4,1.0,0.0,,,,,,,,,,,
1627826,Ivica Zubac,Croatia,108.84,213,Center,IND,Indiana Pacers,739,7832,1067,6122,706,268,10.6,8.3,1.4,1.0,0.4,,,,,,,,,,,
1641783,Tristan da Silva,Germany,98.41,203,Forward,ORL,Orlando Magic,151,1295,237,529,43,101,8.6,3.5,1.6,0.3,0.7,,,,,,,,,,,
