Player ID,Full Name,Total Games,Total Points,Total Rebounds,Total Assists,Total Steals,Total Blocks,MVPs,Finals MVPs,All-Star Appearances,Peak PPG,Peak PPG Season,Peak RPG,Peak RPG Season,Peak APG,Peak APG Season,Peak SPG,Peak SPG Season,Peak BPG,Peak BPG Season,Total Seasons,Career Span,Position,Player Slug,Height,Country
891,Charles Oakley,1282,12417,12205,3217,1351,384,0,0,1,14.6,1989-90,13.1,1986-87,3.6,1986-87,1.6,1997-98,0.6,2000-01,19,1985-86 - 2003-04,Forward,charles-oakley,206,USA
1885,Lamar Odom,961,12781,8059,3554,848,892,0,0,0,17.2,2000-01,10.6,2007-08,5.9,2001-02,1.2,1999-00,1.6,2000-01,14,1999-00 - 2012-13,Forward,lamar-odom,208,USA
165,Hakeem Olajuwon,1238,26946,13748,3058,2162,3830,1,2,12,27.8,1994-95,14,1989-90,3.6,1993-94,2.6,1988-89,4.6,1989-90,18,1984-85 - 2001-02,Center,hakeem-olajuwon,213,Nigeria
305,Robert Parish,1611,23334,14715,2180,1219,2361,0,0,9,19.9,1981-82,12.4,1988-89,2.2,1988-89,1.3,1978-79,2.9,1978-79,21,1976-77 - 1996-97,Center,robert-parish,216,USA
2225,Tony Parker,1254,19473,3396,7036,1053,98,0,1,6,22,2008-09,3.7,2004-05,7.7,2011-12,1.2,2004-05,0.2,2015-16,18,2001-02 - 2018-19,Guard,tony-parker,188,France
56,Gary Payton,1415,23447,5603,9629,2578,305,0,0,9,24.2,1999-00,6.5,1999-00,9,2001-02,2.9,1995-96,0.3,2000-01,17,1990-91 - 2006-07,Guard,gary-payton,193,USA
64,Sam Perkins,1365,16360,8190,2131,1165,1015,0,0,0,16.5,1991-92,8.8,1991-92,2.6,1992-93,1.4,1986-87,1.2,1988-89,17,1984-85 - 2000-01,Center-Forward,sam-perkins,206,USA
77847,Bob Pettit,792,20880,12849,2369,0,0,2,0,11,31.1,1961-62,20.3,1960-61,3.7,1961-62,0,1954-55,0,1954-55,11,1954-55 - 1964-65,Forward,bob-pettit,206,USA
1718,Paul Pierce,1343,26397,7527,4708,1752,745,0,1,10,26.8,2005-06,7.3,2002-03,5.1,2003-04,2.1,1999-00,1,2001-02,19,1998-99 - 2016-17,Forward,paul-pierce,201,USA
937,Scottie Pippen,1178,18940,7494,6135,2307,947,0,0,7,22,1993-94,8.7,1993-94,7,1991-92,2.9,1994-95,1.2,1989-90,17,1987-88 - 2003-04,Forward-Guard,scottie-pippen,203,USA
178,Olden Polynice,1205,9832,8472,827,601,750,0,0,0,13.1,1993-94,12.3,1993-94,2.2,1996-97,0.6,1993-94,1,1999-00,15,1987-88 - 2003-04,Center-Forward,olden-polynice,208,Haiti
345,Terry Porter,1274,15586,3872,7160,1583,181,0,0,2,18.2,1992-93,4.6,1987-88,10.1,1987-88,2,1986-87,0.2,1993-94,17,1985-86 - 2001-02,Guard,terry-porter,190,USA
2216,Zach Randolph,1166,19619,10712,2152,877,317,0,0,2,23.6,2006-07,12.5,2008-09,2.5,2013-14,1.2,2008-09,0.5,2003-04,17,2001-02 - 2017-18,Forward,zach-randolph,206,USA
77929,Willis Reed,650,12183,8414,1186,12,21,1,2,7,21.7,1969-70,14.7,1964-65,2.3,1968-69,0.6,1973-74,1.1,1973-74,10,1964-65 - 1973-74,Center,willis-reed,208,USA
782,Mitch Richmond,976,20497,3801,3398,1211,254,0,0,6,25.9,1996-97,5.9,1988-89,5.1,1991-92,1.6,1990-91,0.4,1990-91,14,1988-89 - 2001-02,Guard,mitch-richmond,196,USA
600015,Oscar Robertson,1040,26710,7804,9887,77,4,1,0,12,31.4,1963-64,12.5,1961-62,11.5,1964-65,1.1,1973-74,0.1,1973-74,14,1960-61 - 1973-74,Guard,oscar-robertson,196,USA
764,David Robinson,987,20790,10497,2441,1388,2954,1,0,10,29.8,1993-94,13,1990-91,4.8,1993-94,2.3,1991-92,4.5,1991-92,14,1989-90 - 2002-03,Center,david-robinson,216,USA
77993,Truck Robinson,918,14906,8897,1603,645,623,0,0,2,24.2,1978-79,15.7,1977-78,2.7,1976-77,1.1,1976-77,1.5,1984-85,11,1974-75 - 1984-85,Forward,truck-robinson,201,USA
78003,Guy Rodgers,971,10818,3941,7297,0,0,0,0,4,18.6,1965-66,6.5,1960-61,11.2,1966-67,0,1958-59,0,1958-59,12,1958-59 - 1969-70,Guard,guy-rodgers,183,USA
23,Dennis Rodman,911,6683,11954,1600,611,531,0,0,2,11.6,1987-88,18.7,1991-92,3.1,1996-97,0.9,1987-88,0.9,1988-89,14,1986-87 - 1999-00,Forward,dennis-rodman,201,USA
200765,Rajon Rondo,1109,10373,4940,8491,1676,142,0,0,4,13.7,2012-13,7.5,2014-15,11.7,2011-12,2.3,2009-10,0.3,2021-22,16,2006-07 - 2021-22,Guard,rajon-rondo,185,USA
78049,Bill Russell,963,14522,21620,4100,0,0,5,0,12,18.9,1961-62,24.7,1963-64,5.8,1966-67,0,1956-57,0,1956-57,13,1956-57 - 1968-69,Center,bill-russell,208,USA
78076,Dolph Schayes,996,18438,11256,3072,0,0,0,0,12,24.9,1957-58,16.4,1950-51,4,1949-50,0,1949-50,0,1949-50,15,1949-50 - 1963-64,Forward,dolph-schayes,203,USA
78126,Bill Sharman,711,12665,2779,2101,0,0,0,0,8,22.3,1957-58,4.7,1957-58,4.7,1955-56,0,1950-51,0,1950-51,11,1950-51 - 1960-61,Guard,bill-sharman,185,USA
78149,Jack Sikma,1107,17287,10816,3488,1162,1048,0,0,7,19.6,1981-82,12.7,1981-82,4.2,1984-85,1.2,1981-82,1.3,1984-85,14,1977-78 - 1990-91,Center,jack-sikma,211,USA
78151,Paul Silas,1254,11782,12357,2572,358,138,0,0,2,17.5,1971-72,13,1972-73,4.3,1971-72,0.8,1977-78,0.4,1975-76,16,1964-65 - 1979-80,Forward,paul-silas,201,USA
693,Joe Smith,1324,14076,8131,1264,756,1037,0,0,0,18.7,1996-97,8.7,1995-96,1.6,1998-99,1,1995-96,1.6,1995-96,16,1995-96 - 2010-11,Forward-Center,joe-smith,208,USA
78195,Larry Smith,883,5904,8125,941,699,457,0,0,0,11.1,1984-85,12.1,1980-81,1.5,1988-89,1,1990-91,0.8,1980-81,13,1980-81 - 1992-93,Forward,larry-smith,203,USA
304,John Stockton,1504,19711,4051,15806,3265,315,0,0,10,17.2,1989-90,3.3,1991-92,14.5,1989-90,3.2,1988-89,0.3,2001-02,19,1984-85 - 2002-03,Guard,john-stockton,185,USA
2405,Amar'e Stoudemire,905,16674,6961,1095,665,1092,0,0,6,26,2004-05,9.6,2006-07,2.6,2010-11,1.2,2003-04,2.1,2007-08,14,2002-03 - 2015-16,Forward-Center,amare-stoudemire,208,USA
393,Rod Strickland,1291,16211,4638,9002,1831,245,0,0,0,18.9,1994-95,5.3,1997-98,10.5,1997-98,2.1,1991-92,0.3,1997-98,17,1988-89 - 2004-05,Guard,rod-strickland,190,USA
78318,Isiah Thomas,979,18822,3478,9061,1861,249,0,1,12,22.9,1982-83,4.5,1984-85,13.9,1984-85,2.5,1983-84,0.4,1983-84,13,1981-82 - 1993-94,Guard,isiah-thomas,185,USA
901,Otis Thorpe,1401,19288,11465,3064,929,559,0,0,1,20.8,1987-88,10.6,1993-94,3.4,1997-98,1,1988-89,0.7,1986-87,17,1984-85 - 2000-01,Center-Forward,otis-thorpe,208,USA
600001,Nate Thurmond,1042,14783,14879,2669,147,651,0,0,7,21.9,1969-70,22,1967-68,4.2,1967-68,0.7,1973-74,2.9,1973-74,14,1963-64 - 1976-77,Center,nate-thurmond,211,USA
78388,Jack Twyman,823,15840,5424,1861,0,0,0,0,6,31.2,1959-60,9.1,1958-59,3.5,1959-60,0,1955-56,0,1955-56,11,1955-56 - 1965-66,Forward,jack-twyman,198,USA
78392,Wes Unseld,984,10624,13769,3822,628,367,1,1,5,16.2,1969-70,18.2,1968-69,5.2,1975-76,1.6,1974-75,0.9,1974-75,13,1968-69 - 1980-81,Center,wes-unseld,201,USA
2548,Dwyane Wade,1121,23930,5185,5929,1681,932,0,1,13,30.2,2008-09,6.4,2010-11,7.5,2006-07,2.2,2008-09,1.3,2008-09,16,2003-04 - 2018-19,Guard,dwyane-wade,193,USA
78435,Chet Walker,1032,18831,7314,2126,117,10,0,0,7,22,1971-72,10.3,1963-64,2.5,1965-66,0.8,1973-74,0.1,1974-75,13,1962-63 - 1974-75,Forward,chet-walker,201,USA
1112,Ben Wallace,1160,6602,11086,1542,1457,2254,0,0,4,9.7,2004-05,15.4,2002-03,2.4,2006-07,1.8,2005-06,3.5,2001-02,16,1996-97 - 2011-12,Forward-Center,ben-wallace,206,USA
78450,Bill Walton,468,6215,4923,1590,380,1034,1,1,2,18.9,1977-78,14.4,1976-77,5,1977-78,1,1977-78,3.6,1982-83,10,1974-75 - 1986-87,Center,bill-walton,211,USA
185,Chris Webber,959,19172,9173,4032,1351,1294,0,0,5,27.1,2000-01,13,1998-99,5.5,2004-05,1.8,1995-96,2.2,1993-94,15,1993-94 - 2007-08,Forward-Center,chris-webber,208,USA
78497,Jerry West,932,25192,5376,6238,81,23,0,1,14,31.3,1965-66,7.9,1961-62,9.7,1971-72,2.6,1973-74,0.7,1973-74,14,1960-61 - 1973-74,Guard,jerry-west,190,USA
78510,Jojo White,913,15346,3545,4442,766,119,0,1,7,23.1,1971-72,5.6,1971-72,6.1,1972-73,1.6,1974-75,0.3,1973-74,12,1969-70 - 1980-81,Guard,jojo-white,190,USA
78530,Lenny Wilkens,1077,17772,5030,7211,174,26,0,0,9,22.4,1968-69,6.5,1961-62,9.6,1971-72,1.3,1973-74,0.2,1973-74,15,1960-61 - 1974-75,Guard,lenny-wilkens,185,USA
1122,Dominique Wilkins,1148,28591,7650,2846,1470,672,0,0,9,30.7,1987-88,9,1990-91,3.8,1991-92,1.8,1985-86,1.1,1983-84,15,1982-83 - 1998-99,Forward,dominique-wilkins,203,USA
433,Buck Williams,1307,16784,13017,1646,1080,1100,0,0,3,18.3,1987-88,12.5,1982-83,2,1984-85,1.1,1982-83,1.5,1983-84,17,1981-82 - 1997-98,Forward,buck-williams,203,USA
101114,Deron Williams,974,15814,3026,7846,977,229,0,0,3,21.3,2010-11,4.6,2010-11,12.8,2010-11,1.5,2013-14,0.4,2012-13,12,2005-06 - 2016-17,Guard,deron-williams,190,USA
788,Kevin Willis,1644,19923,13803,1517,1107,880,0,0,1,21,1994-95,18,1994-95,2.1,1991-92,1,1993-94,1.5,1994-95,21,1984-85 - 2006-07,Center-Forward,kevin-willis,213,USA
1460,James Worthy,926,16320,4708,2791,1041,624,0,1,7,21.4,1990-91,6.4,1984-85,4.7,1991-92,1.4,1991-92,1,1985-86,12,1982-83 - 1993-94,Forward,james-worthy,206,USA
2397,Yao Ming,486,9247,4494,769,189,920,0,0,8,25,2006-07,10.8,2007-08,2.3,2007-08,0.5,2005-06,2,2007-08,8,2002-03 - 2010-11,Center,yao-ming,229,China
78628,George Yardley,472,9063,4220,815,0,0,0,0,6,27.8,1957-58,10.7,1957-58,2.2,1955-56,0,1953-54,0,1953-54,7,1953-54 - 1959-60,Forward,george-yardley,196,USA
76631,Mark Eaton,875,5216,6939,840,368,3064,0,0,1,9.7,1984-85,11.3,1984-85,1.5,1984-85,0.5,1986-87,5.6,1984-85,11,1982-83 - 1992-93,Center,mark-eaton,224,USA
926,Alvin Robertson,848,11500,4335,4192,2267,341,0,0,4,19.6,1987-88,6.9,1989-90,6.8,1987-88,3.7,1985-86,0.8,1987-88,10,1984-85 - 1995-96,Guard,alvin-robertson,193,USA
101,Scott Skiles,600,6652,1526,3881,500,29,0,0,0,17.2,1990-91,3.7,1992-93,9.4,1992-93,1.1,1994-95,0.1,1994-95,10,1986-87 - 1995-96,Guard,scott-skiles,185,USA
78188,Elmore Smith,632,8140,6401,851,360,1327,0,0,0,18.3,1972-73,15.2,1971-72,2.5,1972-73,1.1,1974-75,4.9,1973-74,8,1971-72 - 1978-79,Center,elmore-smith,216,USA
77246,Larry Kenon,551,8815,4089,1326,698,164,0,0,2,22.1,1978-79,11.3,1976-77,4.1,1978-79,2.1,1976-77,0.8,1976-77,7,1976-77 - 1982-83,Forward,larry-kenon,206,USA
383,Kendall Gill,1013,13570,4234,3205,1583,456,0,0,0,21.8,1996-97,6.1,1996-97,6.2,1995-96,2.7,1998-99,0.8,1997-98,15,1990-91 - 2004-05,Guard,kendall-gill,196,USA
